model_name,split,image_path,pred_idx,fp_kind,fp_type,conf,cls,box_xyxy,rule_info
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0007.png,1,pred_dup,texture_boundary,0.4986283481121063,0,"124.09,165.47,169.63,212.02","{""bright_ratio"": 0.0, ""grad_ratio"": 0.10009057971014493, ""near_edge"": 0.0, ""white_thresh"": 250.0, ""grad_percentile"": 90.0}"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0021.png,0,pred_dup,texture_boundary,0.359843909740448,0,"183.54,91.65,261.55,156.69","{""bright_ratio"": 0.00019179133103183735, ""grad_ratio"": 0.10069044879171461, ""near_edge"": 0.0, ""white_thresh"": 250.0, ""grad_percentile"": 90.0}"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0030.png,1,pred_dup,texture_boundary,0.33277779817581177,0,"260.47,184.78,334.03,276.08","{""bright_ratio"": 0.0, ""grad_ratio"": 0.10007168458781363, ""near_edge"": 0.0, ""white_thresh"": 250.0, ""grad_percentile"": 90.0}"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0051.png,0,background_fp,texture_boundary,0.43612292408943176,0,"170.57,83.29,238.78,140.26","{""bright_ratio"": 0.0007496251874062968, ""grad_ratio"": 0.10094952523738131, ""near_edge"": 0.0, ""white_thresh"": 250.0, ""grad_percentile"": 90.0}"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0061.png,1,pred_dup,texture_boundary,0.5267543196678162,0,"297.37,136.89,341.84,174.35","{""bright_ratio"": 0.0, ""grad_ratio"": 0.10028490028490028, ""near_edge"": 0.0, ""white_thresh"": 250.0, ""grad_percentile"": 90.0}"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0061.png,2,background_fp,texture_boundary,0.3273719251155853,0,"303.30,179.54,349.14,217.72","{""bright_ratio"": 0.0, ""grad_ratio"": 0.10038188761593017, ""near_edge"": 0.0, ""white_thresh"": 250.0, ""grad_percentile"": 90.0}"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0061.png,3,background_fp,highlight,0.3030138909816742,0,"224.76,87.71,261.25,121.78","{""bright_ratio"": 0.24586466165413534, ""grad_ratio"": 0.1, ""near_edge"": 0.0, ""white_thresh"": 250.0, ""grad_percentile"": 90.0}"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0069.png,0,background_fp,texture_boundary,0.4192529320716858,0,"175.65,283.13,292.52,340.64","{""bright_ratio"": 0.0, ""grad_ratio"": 0.10023378141437755, ""near_edge"": 0.0, ""white_thresh"": 250.0, ""grad_percentile"": 90.0}"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0084.png,1,pred_dup,highlight,0.4043962359428406,0,"248.77,116.42,289.22,156.27","{""bright_ratio"": 0.43844367015098723, ""grad_ratio"": 0.10046457607433217, ""near_edge"": 0.0, ""white_thresh"": 250.0, ""grad_percentile"": 90.0}"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0084.png,2,background_fp,texture_boundary,0.3302736282348633,0,"146.81,135.08,250.62,176.19","{""bright_ratio"": 0.0, ""grad_ratio"": 0.1, ""near_edge"": 0.0, ""white_thresh"": 250.0, ""grad_percentile"": 90.0}"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0124.png,1,background_fp,highlight,0.423667848110199,0,"341.56,80.69,381.49,117.41","{""bright_ratio"": 0.19383825417201542, ""grad_ratio"": 0.10012836970474968, ""near_edge"": 0.0, ""white_thresh"": 250.0, ""grad_percentile"": 90.0}"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0172.png,2,pred_dup,texture_boundary,0.3926748037338257,0,"311.36,109.00,346.26,160.40","{""bright_ratio"": 0.0, ""grad_ratio"": 0.10115303983228512, ""near_edge"": 0.0, ""white_thresh"": 250.0, ""grad_percentile"": 90.0}"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0179.png,1,background_fp,texture_boundary,0.462185263633728,0,"348.26,391.66,399.92,440.89","{""bright_ratio"": 0.0, ""grad_ratio"": 0.1, ""near_edge"": 0.0, ""white_thresh"": 250.0, ""grad_percentile"": 90.0}"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0179.png,2,background_fp,texture_boundary,0.4584604799747467,0,"340.24,305.31,389.86,362.38","{""bright_ratio"": 0.001379310344827586, ""grad_ratio"": 0.1, ""near_edge"": 0.0, ""white_thresh"": 250.0, ""grad_percentile"": 90.0}"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0234.png,0,background_fp,texture_boundary,0.3379007577896118,0,"175.27,152.89,203.14,168.52","{""bright_ratio"": 0.0, ""grad_ratio"": 0.10141987829614604, ""near_edge"": 0.0, ""white_thresh"": 250.0, ""grad_percentile"": 90.0}"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0274.png,0,background_fp,highlight,0.33915793895721436,0,"188.32,142.14,218.71,184.38","{""bright_ratio"": 0.35933983495873967, ""grad_ratio"": 0.1005251312828207, ""near_edge"": 0.0, ""white_thresh"": 250.0, ""grad_percentile"": 90.0}"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0289.png,0,background_fp,highlight,0.3286651372909546,0,"161.16,120.83,215.88,182.59","{""bright_ratio"": 0.2776334776334776, ""grad_ratio"": 0.10014430014430015, ""near_edge"": 0.0, ""white_thresh"": 250.0, ""grad_percentile"": 90.0}"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0363.png,1,background_fp,highlight,0.4361097812652588,0,"69.37,231.80,128.13,285.22","{""bright_ratio"": 0.05242424242424242, ""grad_ratio"": 0.1003030303030303, ""near_edge"": 0.0, ""white_thresh"": 250.0, ""grad_percentile"": 90.0}"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0363.png,2,background_fp,texture_boundary,0.3376174867153168,0,"195.16,207.10,233.61,252.14","{""bright_ratio"": 0.0, ""grad_ratio"": 0.10033444816053512, ""near_edge"": 0.0, ""white_thresh"": 250.0, ""grad_percentile"": 90.0}"
