model_name,split,image_path,gt_idx,scale_bin,best_score_all,match_metric,best_metric_all,best_metric_conf,best_metric_final,best_iou_all,best_iou_conf,best_iou_final,fn_type,gt_cls,gt_box_xyxy
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0051.png,2,32-64,0.43612292408943176,ios,1.0,0.08860242366790771,0.08276139199733734,1.0,0.08860242366790771,0.08276139199733734,regression_or_match_poor,0,"148.39,67.22,174.99,99.26"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0055.png,1,>=64,0.36236846446990967,ios,1.0,1.0,1.0,1.0,1.0,1.0,regression_or_match_poor,0,"151.00,65.00,211.00,117.00"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0066.png,1,16-32,0.0,ios,0.0,0.0,0.0,0.0,0.0,0.0,no_response,0,"178.00,160.00,197.00,203.00"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0066.png,3,16-32,0.08755329996347427,ios,1.0,0.0,0.0,1.0,0.0,0.0,low_score,0,"301.00,109.00,342.00,124.00"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0068.png,1,32-64,0.23749934136867523,ios,1.0,0.0,0.0,1.0,0.0,0.0,low_score,0,"124.00,211.00,155.00,235.00"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0068.png,2,32-64,0.10469108074903488,ios,1.0,0.0,0.0,1.0,0.0,0.0,low_score,0,"245.00,204.00,283.00,244.00"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0069.png,1,32-64,0.10018052905797958,ios,1.0,0.0,0.0,1.0,0.0,0.0,low_score,0,"213.83,122.63,243.66,150.93"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0069.png,2,16-32,0.22482988238334656,ios,1.0,0.0,0.0,1.0,0.0,0.0,low_score,0,"145.00,243.47,169.47,271.77"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0069.png,3,16-32,0.11071904748678207,ios,1.0,0.0,0.0,1.0,0.0,0.0,low_score,0,"421.86,195.29,438.68,225.88"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0103.png,0,>=64,0.2526538670063019,ios,1.0,0.0,0.0,1.0,0.0,0.0,low_score,0,"211.00,112.00,291.00,194.00"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0105.png,0,32-64,0.10343251377344131,ios,0.9814795851707458,0.0,0.0,0.9814795851707458,0.0,0.0,low_score,0,"145.00,170.00,205.00,198.00"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0143.png,0,>=64,0.4090368151664734,ios,1.0,0.9178272485733032,0.9178272485733032,1.0,0.9178272485733032,0.9178272485733032,regression_or_match_poor,0,"94.00,275.00,315.00,346.00"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0144.png,0,32-64,0.015064517967402935,ios,0.9428726434707642,0.0,0.0,0.9428726434707642,0.0,0.0,low_score,0,"312.00,269.00,350.00,305.00"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0188.png,0,>=64,0.29413771629333496,ios,1.0,0.0,0.0,1.0,0.0,0.0,low_score,0,"387.00,151.00,485.00,260.00"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0188.png,1,32-64,0.23729750514030457,ios,1.0,0.0,0.0,1.0,0.0,0.0,low_score,0,"293.00,111.00,340.00,184.00"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0221.png,1,16-32,0.28698036074638367,ios,1.0,0.0,0.0,1.0,0.0,0.0,low_score,0,"164.00,236.00,191.00,257.00"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0221.png,2,16-32,0.6338526606559753,ios,1.0,1.0,1.0,1.0,1.0,1.0,regression_or_match_poor,0,"200.00,229.00,243.00,251.00"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0221.png,3,>=64,0.28698036074638367,ios,0.9700441956520081,0.0,0.0,0.9700441956520081,0.0,0.0,low_score,0,"263.00,200.00,331.00,285.00"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0221.png,4,32-64,0.28698036074638367,ios,1.0,0.0,0.0,1.0,0.0,0.0,low_score,0,"232.00,144.00,283.00,195.00"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0221.png,5,>=64,0.28698036074638367,ios,1.0,0.0,0.0,1.0,0.0,0.0,low_score,0,"143.00,129.00,229.00,214.00"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0234.png,0,16-32,0.07092949002981186,ios,1.0,0.0,0.0,1.0,0.0,0.0,low_score,0,"212.04,221.24,272.37,247.89"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0234.png,1,16-32,0.15147753059864044,ios,1.0,0.0,0.0,1.0,0.0,0.0,low_score,0,"255.13,153.08,270.80,169.53"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0234.png,2,32-64,0.0,ios,0.0,0.0,0.0,0.0,0.0,0.0,no_response,0,"361.70,260.42,396.96,297.25"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0262.png,0,16-32,0.08073266595602036,ios,1.0,0.0,0.0,1.0,0.0,0.0,low_score,0,"309.00,219.00,345.00,249.00"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0262.png,1,16-32,0.09315351396799088,ios,0.9866396188735962,0.0,0.0,0.9866396188735962,0.0,0.0,low_score,0,"246.00,193.00,280.00,217.00"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0262.png,2,32-64,0.08073266595602036,ios,0.46069055795669556,0.0,0.0,0.46069055795669556,0.0,0.0,low_score,0,"323.00,186.00,399.00,231.00"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0324.png,0,32-64,0.14846310019493103,ios,1.0,0.0,0.0,1.0,0.0,0.0,low_score,0,"216.00,230.00,251.00,269.00"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0349.png,0,16-32,0.0,ios,0.0,0.0,0.0,0.0,0.0,0.0,no_response,0,"411.00,225.00,442.00,250.00"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0351.png,1,>=64,0.8314635157585144,ios,1.0,1.0,1.0,1.0,1.0,1.0,regression_or_match_poor,0,"175.00,126.00,304.00,252.00"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0359.png,0,32-64,0.1360890418291092,ios,1.0,0.0,0.0,1.0,0.0,0.0,low_score,0,"177.00,290.00,235.00,322.00"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0359.png,1,16-32,0.22521522641181946,ios,1.0,0.0,0.0,1.0,0.0,0.0,low_score,0,"368.00,255.00,391.00,283.00"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0359.png,2,32-64,0.0,ios,0.0,0.0,0.0,0.0,0.0,0.0,no_response,0,"245.00,225.00,281.00,252.00"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0359.png,3,16-32,0.1413821578025818,ios,1.0,0.0,0.0,1.0,0.0,0.0,low_score,0,"367.00,178.00,390.00,207.00"
