model_name,split,image_path,pred_idx,fp_kind,fp_type,conf,cls,box_xyxy,rule_info
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0007.png,1,background_fp,texture_boundary,0.4986283481121063,0,"124.09,165.47,169.63,212.02","{""bright_ratio"": 0.0, ""grad_ratio"": 0.10009057971014493, ""near_edge"": 0.0, ""white_thresh"": 250.0, ""grad_percentile"": 90.0}"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0021.png,0,pred_dup,texture_boundary,0.359843909740448,0,"183.54,91.65,261.55,156.69","{""bright_ratio"": 0.00019179133103183735, ""grad_ratio"": 0.10069044879171461, ""near_edge"": 0.0, ""white_thresh"": 250.0, ""grad_percentile"": 90.0}"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0030.png,0,background_fp,texture_boundary,0.4152880609035492,0,"302.58,212.45,369.71,269.11","{""bright_ratio"": 0.005324543610547667, ""grad_ratio"": 0.10015212981744422, ""near_edge"": 0.0, ""white_thresh"": 250.0, ""grad_percentile"": 90.0}"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0030.png,1,background_fp,texture_boundary,0.33277779817581177,0,"260.47,184.78,334.03,276.08","{""bright_ratio"": 0.0, ""grad_ratio"": 0.10007168458781363, ""near_edge"": 0.0, ""white_thresh"": 250.0, ""grad_percentile"": 90.0}"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0051.png,0,background_fp,texture_boundary,0.43612292408943176,0,"170.57,83.29,238.78,140.26","{""bright_ratio"": 0.0007496251874062968, ""grad_ratio"": 0.10094952523738131, ""near_edge"": 0.0, ""white_thresh"": 250.0, ""grad_percentile"": 90.0}"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0051.png,3,background_fp,texture_boundary,0.2548586130142212,0,"177.33,83.45,238.41,123.82","{""bright_ratio"": 0.0011801730920535012, ""grad_ratio"": 0.1007081038552321, ""near_edge"": 0.0, ""white_thresh"": 250.0, ""grad_percentile"": 90.0}"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0055.png,0,background_fp,highlight,0.36236846446990967,0,"113.86,55.40,216.07,236.83","{""bright_ratio"": 0.07127007607776839, ""grad_ratio"": 0.10022189349112426, ""near_edge"": 0.0, ""white_thresh"": 250.0, ""grad_percentile"": 90.0}"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0061.png,0,background_fp,texture_boundary,0.6486415266990662,0,"293.58,137.08,355.49,218.26","{""bright_ratio"": 0.0, ""grad_ratio"": 0.10007742934572203, ""near_edge"": 0.0, ""white_thresh"": 250.0, ""grad_percentile"": 90.0}"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0061.png,1,pred_dup,texture_boundary,0.5267543196678162,0,"297.37,136.89,341.84,174.35","{""bright_ratio"": 0.0, ""grad_ratio"": 0.10028490028490028, ""near_edge"": 0.0, ""white_thresh"": 250.0, ""grad_percentile"": 90.0}"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0061.png,3,background_fp,texture_boundary,0.3273719251155853,0,"303.30,179.54,349.14,217.72","{""bright_ratio"": 0.0, ""grad_ratio"": 0.10038188761593017, ""near_edge"": 0.0, ""white_thresh"": 250.0, ""grad_percentile"": 90.0}"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0061.png,4,background_fp,highlight,0.3030138909816742,0,"224.76,87.71,261.25,121.78","{""bright_ratio"": 0.24586466165413534, ""grad_ratio"": 0.1, ""near_edge"": 0.0, ""white_thresh"": 250.0, ""grad_percentile"": 90.0}"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0061.png,5,background_fp,texture_boundary,0.29532375931739807,0,"261.03,136.60,355.26,220.33","{""bright_ratio"": 0.0, ""grad_ratio"": 0.10006191950464396, ""near_edge"": 0.0, ""white_thresh"": 250.0, ""grad_percentile"": 90.0}"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0069.png,0,background_fp,texture_boundary,0.4192529320716858,0,"175.65,283.13,292.52,340.64","{""bright_ratio"": 0.0, ""grad_ratio"": 0.10023378141437755, ""near_edge"": 0.0, ""white_thresh"": 250.0, ""grad_percentile"": 90.0}"
bsd,val,/home/ubuntu/hpproject/yolo/dataset/yolo/datasetm6c/images/val/0072.png,1,background_fp,texture_boundary,0.3201218247413635,0,"211.82,149.18,256.14,188.70","{""bright_ratio"": 0.0, ""grad_ratio"": 0.10217391304347827, ""near_edge"": 0.0, ""white_thresh"": 250.0, ""grad_percentile"": 90.0}"
